회사명,종목코드,업종,업종2,업종PER,PER,PBR,시가총액(억),등락률,평균거래량,거래대금(백만)
한화생명,088350,보험업,생명보험,12.49,11.41,0.16,26056.0,+4.53%,30371631.5,151330.0
크리스탈신소재,900250,기타 금융업,화학,69.0,4.86,0.4,1173.0,0.00%,8655658.0,23677.0
경남스틸,039240,1차 철강 제조업,철강,41.6,15.15,0.58,508.0,+4.06%,8135387.0,37428.0
NI스틸,008260,1차 철강 제조업,철강,41.6,11.35,0.74,867.0,+7.50%,7913834.5,53564.0
팬오션,028670,해상 운송업,해운사,116.29,19.11,0.85,25846.0,+5.99%,7913571.5,71613.0
팬스타엔터프라이즈,054300,일반 목적용 기계 제조업,자동차부품,46.67,39.23,0.94,389.0,+0.23%,7588159.0,4835.0
글로벌에스엠,900070,기타 금융업,자동차부품,46.67,37.01,0.72,615.0,+2.67%,6936360.5,9883.0
KD,044180,건물 건설업,건설,7.01,6.2,0.63,167.0,+29.47%,6183625.5,9868.0
대한해운,005880,해상 운송업,해운사,116.29,47.79,0.92,7939.0,+0.75%,4917724.0,18256.0
문배철강,008420,1차 철강 제조업,철강,41.6,13.98,0.56,677.0,+4.65%,4512813.5,29448.0
티케이케미칼,104480,화학섬유 제조업,화학,69.0,26.62,0.9,2704.0,+4.78%,4389425.5,19026.0
삼표시멘트,038500,기타 비금속 광물제품 제조업,건축자재,36.34,32.45,0.78,4912.0,+2.46%,4013295.0,25369.0
S&K폴리텍,091340,전자부품 제조업,전자장비와기기,65.66,50.56,0.62,633.0,+4.89%,3160019.0,37881.0
대원화성,024890,플라스틱제품 제조업,"섬유,의류,신발,호화품",33.35,17.47,0.94,749.0,+1.38%,1761739.5,6153.0
